ID,GSM3100217,GSM3100218,GSM3100219,GSM3100220,GSM3100221,GSM3100222,GSM3100223,GSM3100224,GSM3100225,GSM3100226,GSM3100227,GSM3100228,GSM3100229,GSM3100230
SEMG1,-0.05615337,-0.09907268,-0.1044885,-0.01594311,-0.06028412,0.01461773,0.01495811,0.02962395,0.06161923,0.01416906,-0.0799208,-0.04647412,-0.2198218,-0.1542324
ITCH,-0.004631709,-0.001519201,-0.01045033,0.04858919,0.005691792,-0.006277504,0.001865848,0.02852071,-0.01229573,0.006566786,0.03930321,0.0141728,0.02420983,0.07352748
TMEFF2,-0.08040949,-0.02272631,-0.1045036,-0.04345948,-0.01174316,-0.1008275,-0.05689195,-0.06799217,-0.05094622,-0.06250016,0.02388745,-0.03949703,-0.000134168,-0.03874962
CASP8,-0.05214079,-0.06570723,-0.1045139,-0.07745623,-0.07390263,-0.002040075,-0.0423991,-0.01944122,-0.01504677,-0.02967863,-0.05631169,-0.0784645,-0.1084103,-0.1009154
LDLRAD3,-0.03187158,-0.008838799,-0.01048037,0.03145219,-0.03373629,0.04463381,0.002674912,0.02333535,0.01549042,0.00548706,-0.03981377,0.06058799,-0.03234566,-0.03459544
B9D1,-0.08178704,-0.1489394,-0.1048084,-0.07206208,-0.1296589,-0.02055501,-0.03099871,0.01628225,-0.1171432,-0.1877001,-0.1364007,-0.04432814,-0.1506287,-0.1206574
DNAH12,-0.1628687,-0.1119826,-0.1048489,-0.1672323,-0.1094943,-0.2236924,-0.1543351,-0.1582837,-0.1727166,-0.1894609,-0.1473183,-0.1354233,-0.1166196,-0.1771663
MST1R,0.0062143,-0.01101925,-0.10488,0.03946328,-0.01603039,-0.03389278,0.005660805,-0.1000514,-0.05191946,-0.01448118,0.03744093,-0.1098823,-0.1177713,-0.1490121
SLC5A1,-0.0119979,-0.04028322,-0.01049632,0.02059784,-0.02172509,-0.02802309,-0.03274934,0.01351022,0.005195382,-0.03887588,-0.06535739,-0.05349828,0.01037902,0.000346845
SIRT2,-0.05660898,-0.0622142,-0.1049914,-0.08570297,-0.09495928,0.06108808,0.0651204,0.04295373,0.08341124,0.05124607,-0.01594221,-0.02134531,-0.1465768,-0.1011588
CRYAB,-0.1452281,-0.16993,-0.1050128,-0.1162356,-0.06529761,-0.04738174,-0.120514,-0.0870013,-0.06358811,-0.07563907,-0.07415002,-0.1615822,-0.123598,-0.1856555
NDUFB5,0.02228289,0.003736267,-0.01051,0.1000987,-0.002830493,0.05088942,0.07270851,0.03598774,0.0547363,0.03711695,0.01258998,-0.01474405,-0.05611372,-0.03997304
CYFIP1,0.03572661,0.009610646,-0.01051884,0.02244477,0.01951941,0.01106729,0.04843023,-0.0103127,0.02623879,-0.005156874,0.006189326,0.03756109,0.0548066,0.0326573
WSB2,-0.01790547,-0.103442,-0.1053161,0.01498309,-0.06967322,-0.009973801,-0.02606997,0.001132681,-0.03672529,-0.0227349,-0.09427867,-0.04092885,-0.07186764,-0.04076985
CCDC72,-0.07490696,-0.01473509,-0.1054679,-0.04165708,-0.08370594,-0.1343727,-0.04513276,-0.1682763,-0.0593331,-0.06929958,-0.0269709,-0.04449957,-0.080237,-0.1056747
CRCT1,0.01390438,-0.001625575,-0.01054898,-0.01084561,0.02282612,0.07106997,0.02105276,0.04440576,0.05896477,0.07333825,0.03780441,-0.008949177,-0.0531622,-0.002628084
SERPINA7,-0.0570859,-0.01072949,-0.1054927,-0.08324247,-0.04822903,-0.1356922,-0.07904607,-0.1267507,-0.04814775,-0.009564286,0.07048706,-0.05099878,-0.07256978,-0.1420441
TMED10,-0.05266217,-0.07974712,-0.1055055,-0.206166,-0.1020674,0.005599608,-0.01386218,-0.0371246,0.001260847,-0.03530568,-0.05199878,-0.1087753,-0.1458987,-0.09528422
THTPA,0.01052612,-0.0305677,-0.01055068,-0.05748929,-0.02731547,0.07681108,0.0776567,-0.002186914,0.04642853,0.03664049,0.001575839,-0.04921464,-0.06215507,-0.09240088
ANKRD43,-0.04956228,-0.0611703,-0.001056409,0.001499814,-0.035685,-0.002686322,-0.02471138,0.03192322,0.009261768,-2.08E-05,-0.04462807,0.01628175,-0.07727971,-0.00168093
VPS13D,-0.06887799,0.02267288,-0.01056845,-0.1302639,-0.02515406,-0.1582099,-0.1382269,-0.1002995,-0.1799813,-0.1135554,-0.03789053,-0.1133493,0.1021089,0.06253437
